"model","population","term","estimate_log_odds","std_error","statistic","p_value","ci95_lower_logit","ci95_upper_logit","odds_ratio","or_ci95_lower","or_ci95_upper"
"Quasibinomial","minus_top5pct","genre_casual",0.0456125877251259,0.0713118158156753,0.63962174014786,0.522606114409005,-0.0943729414678502,0.185598116918102,1.04666884004407,0.909943343346882,1.20393832069782
"Quasibinomial","minus_top5pct","genre_indie",0.347789198806913,0.0697352758298572,4.98727788293923,7.54973521013901e-07,0.210898427217348,0.484679970396478,1.41593373775654,1.23478692794726,1.62365530792437
"Quasibinomial","minus_top5pct","genre_rpg",-0.0676241199983215,0.0720132237134846,-0.93905142015825,0.347994665764785,-0.208986517170775,0.0737382771741317,0.934611709412718,0.811406175620559,1.07652501745296
"Quasibinomial","minus_top5pct","genre_simulation",-0.226934263368163,0.0710462186788151,-3.19417792513469,0.00145857697275426,-0.366398423762291,-0.0874701029740353,0.796973170900115,0.693226548251065,0.91624626427975
"Quasibinomial","minus_top5pct","genre_strategy",-0.140273835496434,0.0750112041281065,-1.87003844461515,0.0618523720082831,-0.287521286499739,0.00697361550687084,0.869120206846657,0.750120599159097,1.00699798778485
"Beta-binomial","minus_top5pct","(Intercept)",1.62346856868912,0.0813827233895192,19.9485652614348,1.54251514925604e-88,1.46396136188187,1.78297577549636,5.07064773937997,4.32305082233568,5.94752862123135
"Beta-binomial","minus_top5pct","z_log1p_price",-0.104913639521053,0.0339090724130223,-3.0939696091705,0.00197497716090842,-0.171374200199737,-0.0384530788423682,0.900402278400711,0.842506248471503,0.962276854824553
"Beta-binomial","minus_top5pct","z_days_since_release",-0.0403935467664395,0.0312906587186122,-1.29091391554543,0.196733529535377,-0.101722110907454,0.0209350173745746,0.960411397968638,0.903280528601794,1.0211556921036
"Beta-binomial","minus_top5pct","platform_segmentWindows + macOS",0.37968978497878,0.11220876176332,3.38378018803606,0.000714952169723838,0.159764653172838,0.599614916784722,1.46183103714229,1.17323472142842,1.82141726810706
"Beta-binomial","minus_top5pct","platform_segmentWindows + Linux",0.502218350137707,0.168768106797463,2.9757894407171,0.00292235433622055,0.17143893907567,0.832997761199745,1.65238277150189,1.18701166049021,2.30020387704419
"Beta-binomial","minus_top5pct","platform_segmentWindows + macOS + Linux",0.427726310599217,0.114775805253261,3.72662434957794,0.000194061352148135,0.202769866006243,0.652682755192192,1.53376624795293,1.22479056986618,1.9206866555289
"Beta-binomial","minus_top5pct","genre_action",-0.121245559506497,0.0673441345328439,-1.80038781918514,0.0717994228242115,-0.253237637760892,0.0107465187478969,0.885816412242521,0.776283385657393,1.01080446998581
"Beta-binomial","minus_top5pct","genre_adventure",-0.00565096456747395,0.0639741137461122,-0.088332049270747,0.929612766870231,-0.131037923452723,0.119735994317775,0.994364972099486,0.877184507895043,1.12719922529311
"Beta-binomial","minus_top5pct","genre_casual",0.0994453147854997,0.0680090046299807,1.46223746879631,0.143676147311331,-0.0338498849136802,0.23274051448468,1.10455806609358,0.966716612493526,1.26205395211469
"Beta-binomial","minus_top5pct","genre_indie",0.163607157184289,0.0707249697478697,2.31328705784589,0.0207068617828305,0.02498876367078,0.302225550697799,1.17775155296601,1.02530359981091,1.35286633224507
"Beta-binomial","minus_top5pct","genre_rpg",-0.0981217417732849,0.071395158130804,-1.37434728547719,0.169333893035383,-0.238053680380203,0.0418101968336329,0.906538533427107,0.788160381209251,1.04269655286058
"Beta-binomial","minus_top5pct","genre_simulation",-0.290193820061429,0.0672213470825598,-4.31698906160002,1.58171993446222e-05,-0.421945239335512,-0.158442400787345,0.74811855314174,0.655769948808369,0.853472121697425
"Beta-binomial","minus_top5pct","genre_strategy",-0.198883066322796,0.076703149129593,-2.59289310256056,0.0095172347016077,-0.349218476117603,-0.048547656527989,0.819645731918875,0.70523903555109,0.952611940046474
